County,FIPS,Year,Contest,Method,Winning Party,Margin Count,Margin Percent,Votes Cast,Votes % of Pop,Population,"Pop %, Male","Pop %, Female","Pop %, Age <18","Pop %, Age 18-24","Pop %, Age 25-34","Pop %, Age 35-44","Pop %, Age 45-54","Pop %, Age 55-64","Pop %, Age 65+","Pop %, White","Pop %, Black","Pop %, N. American & Alaskan","Pop %, Asian","Pop %, Hawaiian & P. Islander","Pop %, Other","Pop %, 2+ Races","Pop %, 9-12th Grade","Pop %, High School","Pop %, Some College No Degree","Pop %, Assoc Degree","Pop %, Bach Degree","Pop %, Graduate Degree",Median Household Income,"Pop %, Priv Health Ins","Pop %, No Priv Health Ins","Pop %, Publ Health Ins","Pop %, No Publ Health Ins"
HERTFORD,37091,2016,NC Senate,Election Day,DEM,2809.0,100.0,2809.0,11.6,24136.0,50.5,49.5,19.5,11.4,10.8,11.5,12.5,15.2,19.1,34.4,60.6,0.8,0.3,0.1,1.7,2.2,7.5,21.8,18.4,7.2,6.3,4.2,37994.0,54.9,41.7,43.8,52.7
HOKE,37093,2016,NC Senate,Election Day,DEM,367.0,6.4,5649.0,10.6,53262.0,49.7,50.3,28.5,7.4,18.5,16.2,10.2,10.7,8.6,44.2,32.9,8.8,1.1,0.2,7.8,4.9,5.4,20.8,19.1,7.1,6.4,2.0,45638.0,56.7,35.6,34.7,57.6
HYDE,,2016,NC Senate,Election Day,REP,-245.0,-17.2,1425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IREDELL,37097,2016,NC Senate,Election Day,REP,22304.0,-100.0,22304.0,12.9,172916.0,49.2,50.8,23.5,8.5,11.2,13.0,15.6,13.1,15.1,82.5,12.5,0.1,2.6,0.0,1.0,1.3,5.0,20.1,14.7,7.0,12.9,5.1,55891.0,70.7,28.6,30.3,69.1
JACKSON,37099,2016,NC Senate,Election Day,REP,-1287.0,-24.6,5221.0,12.4,42241.0,51.8,48.2,15.9,22.4,9.9,9.4,10.4,13.0,19.0,82.5,1.3,10.3,0.1,0.0,2.9,2.9,4.6,16.8,14.7,6.7,6.7,8.2,45752.0,62.0,37.4,35.9,63.6
JOHNSTON,37101,2016,NC Senate,Election Day,REP,-16536.0,-61.0,27106.0,14.2,191450.0,49.3,50.7,26.1,8.4,11.2,14.0,15.4,12.3,12.6,78.3,16.6,0.4,0.3,0.0,1.6,2.8,6.0,17.7,14.3,8.6,11.4,4.3,54719.0,66.5,32.5,31.1,68.0
JONES,,2016,NC Senate,Election Day,REP,1758.0,-100.0,1758.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE,37105,2016,NC Senate,Election Day,REP,-570.0,-9.2,6192.0,10.4,59616.0,48.1,51.9,24.5,7.5,12.2,13.3,13.4,13.1,15.9,73.9,20.6,0.6,0.6,0.0,2.4,1.9,7.0,16.2,15.0,8.7,11.3,4.1,42688.0,61.9,36.1,36.9,61.1
LENOIR,37107,2016,NC Senate,Election Day,REP,-479.0,-7.6,6225.0,10.9,57307.0,47.0,53.0,23.0,8.6,12.3,10.1,12.5,14.7,18.8,,,,,,,,7.9,20.7,17.1,8.1,6.5,4.0,40298.0,57.8,39.4,40.5,56.7
LINCOLN,37109,2016,NC Senate,Election Day,REP,10380.0,-100.0,10380.0,12.8,81168.0,48.9,51.1,21.2,7.1,10.6,12.6,17.6,14.5,16.4,87.4,4.4,1.4,0.8,0.1,4.0,1.8,6.0,23.0,18.9,6.4,10.5,4.5,49453.0,72.6,26.6,33.6,65.6
MACON,37113,2016,NC Senate,Election Day,REP,-2032.0,-37.2,5450.0,15.9,34376.0,48.0,52.0,18.9,8.6,9.3,8.5,12.3,15.3,27.0,,,,,,,,5.9,22.2,16.5,7.5,12.5,5.7,41077.0,63.5,35.7,45.2,54.0
MADISON,37115,2016,NC Senate,Election Day,REP,-719.0,-18.8,3831.0,18.0,21340.0,47.6,52.4,15.1,11.3,10.9,9.8,13.3,18.9,20.7,,,,,,,,7.4,24.8,13.9,4.8,11.5,8.9,40754.0,62.6,36.3,38.6,60.3
MARTIN,37117,2016,NC Senate,Election Day,DEM,3630.0,100.0,3630.0,15.7,23172.0,43.3,56.7,17.6,9.1,8.2,8.9,15.2,17.8,23.3,,,,,,,,6.2,23.5,20.2,6.0,9.8,5.2,32342.0,61.9,37.1,44.2,54.8
MCDOWELL,37111,2016,NC Senate,Election Day,REP,-2226.0,-34.4,6484.0,14.4,45075.0,52.0,48.0,21.8,6.6,11.6,13.0,13.2,14.8,19.0,,,,,,,,9.8,21.4,15.4,9.5,7.7,5.3,41332.0,53.7,44.6,40.6,57.7
MECKLENBURG,37119,2016,NC Senate,Election Day,DEM,15754.0,10.4,150430.0,14.3,1054835.0,48.0,52.0,24.2,9.1,16.7,14.9,13.7,10.8,10.6,54.5,31.7,0.3,5.6,0.1,5.3,2.5,3.5,11.5,13.5,5.8,19.9,9.9,62978.0,71.1,28.4,25.4,74.1
MITCHELL,,2016,NC Senate,Election Day,REP,-1223.0,-51.2,2385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTGOMERY,37123,2016,NC Senate,Election Day,REP,-1447.0,-28.0,5155.0,18.8,27418.0,50.6,49.4,22.8,5.7,8.5,16.6,13.4,13.8,19.2,,,,,,,,12.3,25.2,12.0,6.8,6.4,3.7,36831.0,52.2,43.3,41.9,53.6
MOORE,37125,2016,NC Senate,Election Day,REP,13649.0,-100.0,13649.0,14.3,95776.0,47.3,52.7,21.0,6.8,11.0,10.9,12.5,13.5,24.3,82.5,13.6,0.1,1.7,0.1,0.5,1.5,3.2,15.7,16.1,7.8,16.8,10.5,52279.0,69.4,27.5,40.0,56.9
NASH,37127,2016,NC Senate,Election Day,REP,-1566.0,-11.4,13788.0,14.7,94005.0,49.6,50.4,21.5,7.9,12.9,11.5,14.5,14.0,17.6,53.4,40.2,0.5,0.9,0.0,3.4,1.7,8.3,24.0,12.2,8.1,8.2,6.1,47902.0,63.5,35.2,40.2,58.5
NEW HANOVER,37129,2016,NC Senate,Election Day,REP,-8177.0,-24.6,33333.0,14.9,223483.0,47.7,52.3,18.9,12.8,13.1,12.7,12.9,12.9,16.7,81.0,13.9,0.3,1.0,0.0,1.0,2.9,4.1,15.9,14.4,6.0,18.1,8.6,50028.0,70.3,28.7,34.3,64.8
NORTHAMPTON,37131,2016,NC Senate,Election Day,DEM,2928.0,100.0,2928.0,14.6,20000.0,48.9,51.1,13.6,6.0,10.4,8.9,10.9,22.9,27.3,,,,,,,,11.3,39.8,13.7,5.4,3.6,2.3,36922.0,54.3,41.1,46.7,48.8
ONSLOW,37133,2016,NC Senate,Election Day,REP,16669.0,-100.0,16669.0,8.9,187136.0,54.0,46.0,25.4,20.8,17.7,10.8,7.9,8.1,9.3,74.5,13.0,0.3,1.8,0.2,1.7,8.5,3.8,15.7,16.8,6.3,7.2,2.8,47150.0,58.7,26.0,30.8,53.9
ORANGE,37135,2016,NC Senate,Election Day,DEM,3227.0,18.4,17561.0,12.4,141796.0,47.5,52.5,20.3,17.8,12.6,11.3,13.5,12.1,12.2,75.2,10.5,0.5,7.9,0.0,1.4,4.5,2.7,7.9,9.1,3.7,16.1,19.9,66423.0,82.9,16.6,20.7,78.9
PAMLICO,,2016,NC Senate,Election Day,REP,-936.0,-40.6,2306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASQUOTANK,37139,2016,NC Senate,Election Day,DEM,-327.0,-6.4,5163.0,13.0,39864.0,49.6,50.4,21.2,11.7,13.0,10.1,14.3,13.7,16.0,57.6,37.4,0.2,0.8,0.0,1.3,2.6,4.3,24.6,16.0,5.3,8.2,5.2,45388.0,59.8,36.5,35.2,61.1
PENDER,37141,2016,NC Senate,Election Day,REP,5358.0,-100.0,5358.0,9.1,59090.0,48.5,51.5,21.8,8.0,9.8,14.4,13.9,14.6,17.4,75.9,15.9,0.1,0.2,0.3,5.8,1.7,6.3,20.5,14.5,7.0,13.1,5.9,51161.0,64.5,33.0,36.8,60.7
PERQUIMANS,,2016,NC Senate,Election Day,REP,-723.0,-30.2,2387.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSON,37145,2016,NC Senate,Election Day,DEM,-440.0,-8.4,5292.0,13.5,39284.0,48.7,51.3,21.5,8.9,7.9,14.6,13.3,15.4,18.4,,,,,,,,5.8,26.3,16.1,9.3,6.7,3.3,48177.0,65.3,33.8,38.2,60.8
PITT,37147,2016,NC Senate,Election Day,REP,-291.0,-1.6,17385.0,9.8,177220.0,47.1,52.9,21.9,18.1,13.9,11.7,11.7,11.0,11.7,57.7,35.3,0.4,1.7,0.0,2.4,2.5,4.1,13.6,14.7,6.8,11.1,7.8,46573.0,69.5,29.9,28.7,70.7
POLK,37149,2016,NC Senate,Election Day,REP,-1114.0,-38.0,2934.0,14.4,20334.0,50.2,49.8,12.1,9.0,6.6,6.0,14.9,18.5,32.9,,,,,,,,4.2,22.5,13.3,8.1,16.4,9.1,46558.0,59.7,38.9,50.1,48.6
RANDOLPH,37151,2016,NC Senate,Election Day,REP,-15115.0,-82.2,18373.0,12.8,143416.0,49.3,50.7,23.0,7.7,11.3,11.8,15.3,13.9,17.1,83.7,6.8,0.2,1.0,0.0,6.4,2.0,8.3,22.3,16.5,6.1,8.2,3.1,44836.0,58.2,40.8,37.3,61.7
RICHMOND,37153,2016,NC Senate,Election Day,REP,-1250.0,-18.0,6956.0,15.5,44939.0,48.7,51.3,22.5,10.6,8.1,15.3,12.9,13.8,16.8,62.4,31.5,1.9,1.3,0.0,1.0,1.8,7.3,20.8,13.8,6.9,9.0,3.6,34314.0,54.2,42.8,45.7,51.2
ROBESON,37155,2016,NC Senate,Election Day,REP,-3103.0,-15.0,20817.0,15.6,133235.0,47.8,52.2,25.7,10.1,12.8,12.3,12.7,12.5,14.0,28.9,24.3,39.6,0.7,0.1,4.7,1.7,9.4,22.5,13.7,5.3,6.1,2.4,34254.0,47.2,51.5,46.9,51.9
ROCKINGHAM,37157,2016,NC Senate,Election Day,REP,12228.0,-100.0,12228.0,13.4,91393.0,48.5,51.5,20.7,8.3,10.2,12.3,14.0,15.3,19.2,77.3,17.4,0.8,0.7,0.1,1.2,2.5,10.4,24.0,17.2,5.8,6.8,3.4,40985.0,61.9,36.5,42.2,56.3
ROWAN,37159,2016,NC Senate,Election Day,REP,-16781.0,-91.2,18399.0,13.1,139933.0,49.1,50.9,22.5,8.9,11.9,12.4,13.6,13.9,16.7,76.8,16.1,0.5,0.8,0.0,3.9,2.0,6.1,21.9,17.5,6.1,10.2,3.3,48379.0,63.1,35.2,36.7,61.6
RUTHERFORD,37161,2016,NC Senate,Election Day,REP,-3860.0,-39.8,9718.0,14.6,66421.0,48.3,51.7,20.3,8.5,9.5,10.9,14.1,15.3,21.3,87.4,8.8,0.9,1.1,0.0,0.3,1.4,8.0,23.5,14.2,8.1,8.9,4.1,36121.0,58.9,39.7,42.3,56.3
SAMPSON,37163,2016,NC Senate,Election Day,REP,7197.0,-100.0,7197.0,11.4,63124.0,49.4,50.6,24.7,8.1,9.7,14.0,13.5,12.7,17.4,62.9,25.9,2.7,0.6,0.0,5.2,2.8,7.8,24.7,12.2,7.8,5.9,2.2,41285.0,50.4,48.8,42.8,56.5
SCOTLAND,37165,2016,NC Senate,Election Day,DEM,-200.0,-4.2,4786.0,13.6,35244.0,48.4,51.6,23.3,10.1,11.4,12.1,12.5,13.6,17.0,44.7,38.3,10.9,1.1,0.0,2.1,3.0,11.5,23.9,13.8,5.9,5.6,3.5,32596.0,48.5,45.2,48.0,45.7
STANLY,37167,2016,NC Senate,Election Day,REP,-4428.0,-48.0,9240.0,15.2,60791.0,48.1,51.9,21.8,8.9,11.1,11.4,14.8,14.0,17.9,83.0,11.0,0.1,1.5,0.0,2.1,2.3,5.1,22.7,18.2,10.2,8.4,3.1,50422.0,68.3,29.5,34.8,63.0
STOKES,37169,2016,NC Senate,Election Day,REP,-4632.0,-47.6,9722.0,21.1,46097.0,49.0,51.0,19.3,7.9,9.4,12.2,15.8,15.5,19.8,,,,,,,,5.9,33.5,15.0,5.3,8.4,2.1,47562.0,73.4,25.6,31.9,67.1
SURRY,37171,2016,NC Senate,Election Day,REP,-4777.0,-48.2,9895.0,13.7,72113.0,49.6,50.4,21.4,7.9,9.8,11.9,15.4,13.4,20.2,90.2,3.8,0.2,0.6,0.2,3.6,1.5,8.9,21.0,14.8,7.5,7.0,3.6,36802.0,57.5,41.2,43.0,55.8
SWAIN,,2016,NC Senate,Election Day,REP,-480.0,-22.8,2112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSYLVANIA,37175,2016,NC Senate,Election Day,REP,-2095.0,-39.8,5263.0,15.7,33482.0,43.0,57.0,19.0,5.5,11.3,11.2,11.3,15.3,26.5,,,,,,,,5.4,23.1,17.7,5.3,13.6,6.6,41854.0,62.3,36.3,45.6,52.9
TYRRELL,,2016,NC Senate,Election Day,DEM,542.0,100.0,542.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION,37179,2016,NC Senate,Election Day,REP,-22647.0,-97.0,23343.0,10.3,226606.0,49.0,51.0,27.7,8.7,9.4,14.4,16.4,11.4,12.0,82.6,11.3,0.2,2.6,0.0,1.0,2.3,5.4,15.6,13.3,5.3,14.9,6.6,71588.0,77.9,21.7,24.7,74.9
VANCE,37181,2016,NC Senate,Election Day,DEM,1259.0,23.0,5497.0,12.4,44244.0,46.2,53.8,23.9,10.5,9.7,9.7,14.8,13.6,17.7,42.6,49.8,3.8,0.3,0.0,0.8,2.7,10.2,19.2,15.6,7.1,5.9,2.9,31650.0,52.2,46.8,50.9,48.1
WAKE,37183,2016,NC Senate,Election Day,DEM,2442.0,1.4,175386.0,16.8,1046791.0,48.6,51.4,24.5,9.2,14.7,15.1,14.6,11.2,10.7,65.7,20.4,0.4,6.6,0.0,3.9,3.0,2.5,9.4,11.4,5.5,22.3,12.9,76097.0,78.8,20.4,21.6,77.5
WARREN,37185,2016,NC Senate,Election Day,DEM,546.0,15.2,3592.0,18.0,19907.0,47.6,52.4,25.4,9.4,10.6,11.5,14.5,9.9,18.6,31.9,59.1,6.1,0.2,0.0,0.2,2.6,9.5,27.1,12.7,5.0,5.2,2.7,34632.0,52.6,43.1,41.9,53.8
WASHINGTON,,2016,NC Senate,Election Day,DEM,1609.0,100.0,1609.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATAUGA,37189,2016,NC Senate,Election Day,REP,-2099.0,-25.6,8181.0,15.2,53922.0,50.7,49.3,12.4,30.4,10.8,8.7,10.9,11.9,14.8,96.6,0.4,0.1,0.4,0.1,2.0,0.4,4.1,11.9,10.0,4.9,14.3,9.3,43251.0,73.5,25.9,25.6,73.8
WAYNE,37191,2016,NC Senate,Election Day,REP,-2958.0,-29.0,10216.0,8.2,124150.0,48.8,51.2,24.1,9.5,13.6,11.7,13.3,12.8,15.0,64.2,29.8,0.3,1.2,0.1,0.9,3.5,6.4,20.0,14.6,9.2,7.8,3.9,41711.0,56.0,40.6,40.1,56.4
WILKES,37193,2016,NC Senate,Election Day,REP,-7246.0,-51.0,14218.0,20.7,68740.0,49.3,50.7,20.9,7.9,10.3,11.6,14.6,14.7,20.1,90.3,2.9,0.0,1.8,0.2,2.8,2.0,8.1,23.7,17.2,7.0,7.3,3.5,41332.0,62.1,36.6,40.4,58.3
WILSON,37195,2016,NC Senate,Election Day,DEM,-737.0,-6.0,12101.0,14.8,81661.0,47.6,52.4,23.5,8.8,11.9,12.1,12.9,13.9,17.0,50.8,39.8,0.7,0.3,0.0,6.0,2.5,8.1,23.1,12.4,5.8,8.8,3.7,39036.0,59.1,39.4,42.2,56.2
YADKIN,37197,2016,NC Senate,Election Day,REP,7886.0,-100.0,7886.0,21.0,37532.0,50.8,49.2,21.3,7.7,9.6,12.9,15.0,14.4,18.9,92.2,3.4,0.0,0.0,0.0,1.6,2.8,10.0,23.2,18.3,6.3,7.2,3.2,45251.0,64.0,35.3,39.5,59.8
YANCEY,,2016,NC Senate,Election Day,REP,-630.0,-17.6,3592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER,37003,2016,NC House,Total,REP,14489.0,-100.0,14489.0,38.7,37428.0,50.3,49.7,20.8,6.8,11.1,13.6,14.7,13.8,19.3,88.1,6.9,0.6,0.0,0.0,3.5,1.0,8.9,31.7,11.6,8.5,4.0,3.4,43345.0,56.2,39.9,40.1,56.1
ALLEGHANY,,2016,NC House,Total,REP,-2147.0,-42.4,5059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANSON,37007,2016,NC House,Total,DEM,2369.0,23.2,10233.0,40.2,25448.0,54.6,45.4,19.2,6.5,15.8,12.5,12.4,14.7,18.9,43.4,53.8,0.3,1.5,0.0,0.1,1.0,13.4,30.5,15.5,6.2,3.1,1.0,30518.0,56.3,36.9,39.9,53.3
ASHE,37009,2016,NC House,Total,REP,-3998.0,-30.8,12962.0,48.1,26924.0,47.3,52.7,20.5,6.6,8.6,12.0,12.3,15.7,24.2,92.8,1.0,0.1,0.0,0.2,1.7,4.2,5.9,25.6,16.8,5.5,11.0,4.3,44366.0,68.3,30.9,39.6,59.6
AVERY,,2016,NC House,Total,REP,6558.0,-100.0,6558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAUFORT,37013,2016,NC House,Total,REP,-3939.0,-17.2,22949.0,48.3,47526.0,48.5,51.5,20.4,6.2,9.2,11.1,14.7,15.5,22.9,,,,,,,,5.2,24.4,17.4,7.2,9.9,7.3,41106.0,59.4,39.8,49.9,49.3
BERTIE,37015,2016,NC House,Total,DEM,6856.0,100.0,6856.0,34.5,19854.0,51.1,48.9,15.2,6.5,16.0,10.2,14.2,16.1,21.7,,,,,,,,15.1,26.0,12.9,6.2,6.8,6.4,35213.0,49.7,44.3,45.8,48.3
BLADEN,37017,2016,NC House,Total,DEM,8385.0,78.8,10633.0,31.5,33741.0,50.3,49.7,21.1,5.4,14.7,12.8,10.4,16.9,18.8,56.1,34.7,2.8,0.0,0.0,5.8,0.4,12.5,21.0,13.7,9.0,8.7,2.9,31452.0,48.6,50.7,49.3,50.0
BRUNSWICK,37019,2016,NC House,Total,REP,-18107.0,-28.0,64593.0,50.9,126953.0,48.2,51.8,15.8,5.6,9.6,9.7,11.1,18.1,30.0,83.4,10.3,0.8,0.6,0.0,2.2,2.7,5.1,22.9,18.6,9.1,13.6,7.6,50692.0,61.1,38.1,48.7,50.5
BUNCOMBE,37021,2016,NC House,Total,DEM,72331.0,64.2,112697.0,44.0,256088.0,48.2,51.8,19.0,7.9,13.7,13.0,13.3,14.1,19.0,88.6,6.0,0.4,1.4,0.2,1.2,2.2,4.9,17.3,15.6,5.8,16.8,10.8,50685.0,69.1,29.5,35.9,62.7
BURKE,37023,2016,NC House,Total,REP,-11386.0,-30.8,36918.0,41.6,88851.0,49.6,50.4,19.4,8.3,11.2,11.1,15.6,14.5,19.9,84.2,6.1,0.6,3.9,0.1,3.9,1.2,7.9,22.9,16.0,8.0,8.1,3.7,40345.0,58.6,38.6,42.3,55.0
CABARRUS,37025,2016,NC House,Total,REP,-25085.0,-28.6,87699.0,43.5,201590.0,48.5,51.5,26.2,8.0,12.3,14.2,14.7,11.7,12.9,70.1,17.1,0.3,3.1,0.2,6.2,3.1,4.3,15.0,16.1,6.6,13.4,7.6,63386.0,75.1,24.2,29.9,69.4
CALDWELL,37027,2016,NC House,Total,REP,29066.0,-100.0,29066.0,35.7,81449.0,49.3,50.7,20.1,8.0,11.8,12.5,14.5,14.4,18.7,88.5,4.4,0.7,0.4,0.0,4.4,1.6,11.1,24.0,15.4,7.3,6.7,3.0,36301.0,58.6,40.3,42.3,56.6
CAMDEN,,2016,NC House,Total,REP,-1730.0,-36.2,4784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTERET,37031,2016,NC House,Total,REP,-16168.0,-44.4,36354.0,52.8,68890.0,48.8,51.2,18.2,6.7,10.4,11.4,13.5,16.2,23.7,89.8,5.5,0.4,0.8,0.0,0.5,3.0,3.1,21.8,20.1,7.8,10.9,8.3,51206.0,66.1,32.3,42.1,56.3
CASWELL,37033,2016,NC House,Total,REP,-1142.0,-10.6,10690.0,49.8,21476.0,53.9,46.1,20.5,5.9,9.5,13.4,16.0,17.9,16.8,,,,,,,,9.2,21.0,17.6,7.6,10.6,1.3,38997.0,58.0,37.9,42.4,53.6
CATAWBA,37035,2016,NC House,Total,REP,55004.0,-100.0,55004.0,35.2,156459.0,49.7,50.3,22.6,8.1,11.1,12.9,14.7,13.2,17.4,78.0,8.9,0.4,4.1,0.0,7.0,1.6,6.9,21.1,15.5,8.2,10.0,4.5,48913.0,66.3,32.7,35.6,63.4
CHATHAM,37037,2016,NC House,Total,DEM,4210.0,11.0,38450.0,53.2,72243.0,47.3,52.7,20.6,6.0,8.6,11.8,13.9,14.2,24.8,82.3,11.1,0.0,1.2,0.0,1.6,3.7,4.8,14.7,11.8,6.4,15.9,15.2,62961.0,70.4,28.6,37.6,61.4
CHEROKEE,37039,2016,NC House,Total,REP,-5730.0,-42.2,13564.0,44.6,30426.0,50.2,49.8,17.5,6.8,10.3,8.7,13.7,17.3,25.7,,,,,,,,8.3,25.5,16.5,9.0,8.0,5.3,38386.0,48.7,50.2,55.7,43.3
CHOWAN,,2016,NC House,Total,REP,-939.0,-13.4,6983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAY,,2016,NC House,Total,REP,-2289.0,-40.2,5693.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLEVELAND,37045,2016,NC House,Total,REP,31735.0,-100.0,31735.0,32.7,97144.0,48.9,51.1,22.1,10.2,10.6,11.8,13.8,13.6,17.8,74.0,21.3,0.2,1.2,0.0,2.6,0.8,7.9,20.4,15.4,7.4,7.4,6.1,36992.0,60.9,38.9,39.0,60.7
COLUMBUS,37047,2016,NC House,Total,REP,-5522.0,-24.8,22356.0,39.6,56505.0,49.7,50.3,20.5,8.9,12.7,12.5,12.6,13.7,19.0,63.6,31.2,3.7,0.1,0.1,0.7,0.7,5.7,27.0,16.7,8.0,6.1,2.7,36175.0,49.1,45.6,44.8,49.9
CRAVEN,37049,2016,NC House,Total,REP,-3368.0,-8.2,41264.0,39.9,103445.0,51.1,48.9,21.9,12.7,12.5,11.0,10.9,12.6,18.4,69.2,19.9,0.8,3.1,0.0,2.9,4.0,5.3,15.6,15.0,9.1,11.3,6.0,49938.0,65.2,28.0,37.0,56.2
CUMBERLAND,37051,2016,NC House,Total,DEM,28186.0,26.8,105348.0,32.2,327127.0,49.1,50.9,25.4,12.3,16.8,11.8,11.4,10.7,11.5,49.8,38.1,1.5,2.3,0.2,2.3,5.7,3.8,16.2,17.5,7.1,10.4,5.4,45205.0,61.5,31.0,36.7,55.8
CURRITUCK,37053,2016,NC House,Total,REP,-5242.0,-44.0,11894.0,46.1,25809.0,53.2,46.8,23.7,8.1,9.9,13.9,14.7,11.0,18.7,89.4,6.6,0.7,0.9,0.0,0.2,2.2,5.5,20.2,18.5,5.6,10.4,4.6,53431.0,70.0,28.1,34.6,63.5
DARE,37055,2016,NC House,Total,DEM,619.0,3.2,19161.0,53.3,35964.0,47.8,52.2,20.1,7.4,11.4,11.1,13.3,17.2,19.4,,,,,,,,4.0,16.5,20.5,9.5,12.5,7.9,55617.0,68.3,31.2,35.6,63.9
DAVIDSON,37057,2016,NC House,Total,REP,-44228.0,-66.0,67104.0,40.7,164926.0,48.2,51.8,22.4,7.8,11.3,11.8,15.1,13.8,17.8,84.7,8.3,0.1,1.6,0.0,2.6,2.7,7.7,23.3,16.1,6.6,8.7,3.4,45678.0,62.0,36.8,37.2,61.6
DAVIE,37059,2016,NC House,Total,REP,16669.0,-100.0,16669.0,39.7,42013.0,46.7,53.3,21.6,8.7,8.6,13.2,14.5,14.3,19.2,,,,,,,,5.8,24.3,17.8,5.1,8.3,4.9,53638.0,67.8,31.5,38.0,61.3
DUPLIN,37061,2016,NC House,Total,REP,-4608.0,-29.6,15532.0,26.3,58969.0,48.9,51.1,24.5,9.0,8.6,13.8,13.6,13.7,16.9,72.3,24.5,0.0,0.4,0.1,1.3,1.4,6.6,24.9,14.2,5.1,6.7,2.4,37132.0,54.2,45.1,41.7,57.6
DURHAM,37063,2016,NC House,Total,DEM,98098.0,68.6,143188.0,46.8,306212.0,47.8,52.2,21.6,9.8,18.4,13.9,12.7,11.6,12.0,51.6,36.9,0.2,5.1,0.1,3.4,2.6,5.0,12.2,10.4,4.8,17.9,14.9,53832.0,67.6,30.6,30.5,67.7
EDGECOMBE,37065,2016,NC House,Total,DEM,19196.0,100.0,19196.0,36.0,53318.0,47.1,52.9,23.8,9.4,10.1,11.1,12.9,14.7,18.0,,,,,,,,8.6,25.3,14.5,5.2,4.7,2.7,32147.0,49.2,49.7,52.3,46.6
FORSYTH,37067,2016,NC House,Total,REP,-3394.0,-2.4,141858.0,38.2,371511.0,47.6,52.4,23.5,9.8,12.8,12.2,13.6,13.1,15.0,66.2,26.3,0.4,2.3,0.0,2.4,2.4,4.1,16.4,14.4,5.9,14.4,8.5,48271.0,66.8,32.3,33.4,65.7
FRANKLIN,37069,2016,NC House,Total,REP,-2630.0,-9.0,29074.0,44.9,64705.0,49.8,50.2,22.4,9.1,11.6,12.6,14.2,14.2,16.0,66.6,25.6,3.4,0.3,0.0,0.8,3.3,6.5,19.8,18.7,6.7,9.9,3.7,48693.0,62.8,35.6,40.8,57.7
GASTON,37071,2016,NC House,Total,REP,-51162.0,-65.0,78672.0,36.3,216965.0,48.2,51.8,22.8,8.4,12.6,12.8,14.7,13.1,15.6,77.4,15.8,0.5,1.7,0.0,2.4,2.3,7.8,20.7,15.2,7.0,10.5,4.5,48711.0,65.1,34.0,38.0,61.0
GATES,,2016,NC House,Total,DEM,3672.0,100.0,3672.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAHAM,,2016,NC House,Total,REP,-1590.0,-42.2,3776.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRANVILLE,37077,2016,NC House,Total,DEM,2459.0,9.8,25135.0,42.6,59031.0,50.4,49.6,21.1,7.4,10.5,13.7,15.9,14.5,16.9,,,,,,,,6.8,24.3,10.6,6.8,13.2,6.2,49714.0,64.1,31.3,34.3,61.1
GREENE,37079,2016,NC House,Total,DEM,3256.0,51.4,6334.0,28.6,22172.0,52.4,47.6,19.4,8.2,14.2,15.6,14.9,12.3,15.4,66.7,31.0,0.6,0.0,0.0,0.0,1.7,15.3,21.7,13.7,9.4,5.2,0.9,38536.0,48.7,40.7,35.4,54.1
GUILFORD,37081,2016,NC House,Total,DEM,20032.0,9.8,205546.0,39.4,521330.0,47.4,52.6,22.7,10.6,13.7,12.5,13.7,12.4,14.5,55.8,33.6,0.4,5.0,0.1,2.9,2.2,4.6,16.5,14.3,4.8,14.7,8.3,47262.0,67.3,32.0,34.3,65.0
HALIFAX,37083,2016,NC House,Total,DEM,21398.0,100.0,21398.0,41.3,51766.0,47.5,52.5,20.9,8.3,11.1,11.3,13.5,14.9,20.0,40.9,53.1,3.9,0.6,0.2,0.0,1.3,12.5,25.1,9.4,6.5,8.0,3.5,31691.0,51.6,45.9,48.0,49.4
HARNETT,37085,2016,NC House,Total,REP,-7682.0,-17.2,44886.0,34.3,130881.0,50.1,49.9,26.8,8.9,15.8,13.4,12.8,10.6,11.7,66.4,21.0,0.7,0.7,0.2,6.7,4.4,5.3,19.1,16.5,7.7,8.5,4.3,51637.0,61.3,34.4,36.0,59.7
